,ROWTIME,ROWKEY,RESPONSE,CPK,CPK_CLASS,PRODUCT_CLASS,SUM_SENSOR1,SUM_SENSOR2,SUM_SENSOR3,SUM_SENSOR4,SUM_SENSOR5,SUM_SENSOR7,SUM_SENSOR49
102,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
103,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
104,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
105,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
106,1647262886351,,0.423,0.533135509,bad,good,495.0104,495,11625.1329,3470.0313,3470,2117.11206,30158
107,1647260135667,,0.432,0.215657552,bad,good,509.5524,510,11625.4316,3485.05,3485,2166.66184,31534
108,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
109,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
110,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
111,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
112,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
113,1647262490778,,0.3852,0.327945655,bad,good,509.8865,510,11774.6335,3510.3285,3510,2157.82322,30389
114,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
115,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
116,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
117,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
118,1647336621381,,1.017,11.12449799,good,bad,913.13101,930,2346.8793,7499.889644,7558,1577.74697,32867
119,1647336638405,,0.4176,0.539961014,bad,good,911.285,925,2435.1326,7589.4677,7567,1687.42965,29753
120,1647354089386,,1.89,0.23723878,bad,bad,913.17457,901,2434.9669,7553.7246,7525,1728.04179,30131
121,1647354113393,,0.378,0.220458554,bad,good,917.747522,906,2406.3963,7560.8108,7538,1580.07264,31823
122,1647354168417,,0.4176,6.519274376,good,good,509.5991,510,11759.2702,3510.7756,3510,2180.43391,29925
123,1647607956541,,0.3816,0.539961014,bad,good,907.47492,923,2390.9019,7547.7096,7620,1605.38077,30275
124,1647607966559,,1.008,0.210441767,bad,bad,905.43802,920,2450.7523,7597.0853,7555,1770.88008,30737
125,1647607998615,,0.4536,12.64840183,good,good,494.9391081,510,11330.4478,3469.9379,3460,2189.02765,31174
126,1647608008631,,0.4266,0.241420935,bad,good,470.12961,495,11549.7773,3471.0044,3470,2126.27633,32304
127,1647608033680,,0.3636,0.635763152,bad,good,907.855692,914,2346.3801,7580.4034,7555,1642.8955,30830
128,1648461697504,,0.4122,12.31111111,good,good,475.779,495,11774.9817,3495.0009,3495,2132.59448,32885
129,1648461720527,,0.4266,11.09259259,good,good,510.0166,510,11624.9286,3485.1466,3485,2137.65626,31510
0,1648461764592,,0.4086,0.321989838,bad,good,509.3587,510,11625.3928,3485.024,3485,2129.05227,31516
